SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
531.76,        864.332
532.20,       863.9821
532.64,       863.7307
533.08,       864.2498
533.52,       865.7006
533.96,       867.8885
534.40,       870.3641
534.84,       872.4775
535.28,        873.911
535.71,        874.674
536.15,       875.3255
536.59,       876.6102
537.03,       879.2706
537.47,       883.7556
537.91,       888.4445
538.35,       892.8124
538.79,       896.2785
539.23,        892.261
539.67,       885.5933
540.11,       896.3828
540.55,       920.0672
540.99,       930.0472
541.42,       925.6725
541.86,       923.3015
542.30,       934.5709
542.74,       945.8151
543.18,       978.5858
543.62,        1013.86
544.06,       1014.533
544.50,       1041.111
544.94,       1205.985
545.37,       1933.893
545.81,       5041.043
546.25,       13903.61
546.69,       41747.63
547.13,       49867.56
547.57,       15181.51
548.01,       3068.057
548.44,       1417.688
548.88,       1182.636
549.32,       1081.552
549.76,       1060.301
550.20,       1044.206
550.64,        1020.26
551.08,       1011.973
551.51,       1007.278
551.95,       980.0432
552.39,       960.9828
552.83,       943.3705
553.27,       935.8137
553.70,       936.3779
554.14,       940.9049
554.58,       944.3998
555.02,       935.3738
555.46,       917.3148
555.89,       909.3643
556.33,       912.5031
556.77,       913.5193
557.21,       911.0233
557.65,       909.8729
558.08,       909.6473
558.52,       908.4368
558.96,       906.3827
559.40,       904.1937
559.83,       901.9866
560.27,       899.7138
560.71,       897.3765
561.15,       894.9085
561.58,       892.3682
562.02,       889.8982
562.46,       887.7534
562.90,       886.2158
563.33,       885.3162
563.77,       885.0104
564.21,       884.8376
564.64,       884.0097
565.08,       882.4327
565.52,       880.3765
565.96,       878.3398
566.39,        877.231
